id_num,tender_id,tender_link,legal_entity,tender_title,purchase_stage,published_date,submission_deadline,purchase_class,initial_max_price,tektorg_link
600874,600874,http://zakupki.rosneft.ru/node/600874,"ООО ""РН-Ванкор""","Т-20-СМР-140. СМР и ПНР систем автоматизации,  связи, пожарной и охранной сигнализации, видеонаблюдения кустовой площадки №19 с коридорами коммуникаций Тагульского месторождения",Запрос оферт,11.11.2020 - 08:07,02.12.2020 - 11:00,строительно-монтажные работы,0.00 руб.,Not specified
600876,669-25/94,http://zakupki.rosneft.ru/node/600876,"ОАО ""Новокуйбышевский НПЗ""","Подготовка к поверке, поверка  массомеров",Запрос оферт,11.11.2020 - 08:12,02.12.2020 - 16:00,прочие услуги,0.00 руб.,https://www.tektorg.ru/rosneft/procedures/541677
600960,600960,http://zakupki.rosneft.ru/node/600960,"АО ""ВЧНГ""",8-21-9 Поставка лабораторной посуды и расходных материалов,Запрос цен,11.11.2020 - 10:56,04.12.2020 - 15:00,поставка материально-технических ресурсов,4 108 040.00 руб.,Not specified
600962,2312,http://zakupki.rosneft.ru/node/600962,"ЧАО ""ЛИНИК""",Обязательный технический контроль (ОТК) транспортных средств,Запрос оферт,11.11.2020 - 10:57,25.11.2020 - 16:00,непроизводственные услуги,-,Not specified
600965,2734068,http://zakupki.rosneft.ru/node/600965,"ООО ""Звезда-Хёндэ""","Добровольное медицинское страхование персонала, согласно требованиям технического задания №6/20-ЗП",Запрос предложений,11.11.2020 - 11:06,25.11.2020 - 11:00,прочие услуги,"715 468,00 руб. (без НДС)",
600968,3/21-ОГМ,http://zakupki.rosneft.ru/node/600968,"АО ""Куйбышевский НПЗ""","Ремонт компрессорной установки С-203, марки EGS-S-760/850 W установки УПВ цеха №1",Запрос оферт,11.11.2020 - 11:11,25.11.2020 - 15:00,прочие услуги,27 181 374.40 руб.,Not specified
600970,2313,http://zakupki.rosneft.ru/node/600970,"ЧАО ""ЛИНИК""",Регенерация масла в баке трансформатора №2 типа ТРДЦН-63000/110/6 и бака РПН п/с ГПП-1 ЧАО «ЛИНИК»,Запрос оферт,11.11.2020 - 11:12,25.11.2020 - 16:00,непроизводственные услуги,-,Not specified
600971,694-04/9152,http://zakupki.rosneft.ru/node/600971,"ОАО ""Новокуйбышевский НПЗ""",Импортные детали трубопроводов для ГК 2021,Запрос оферт,11.11.2020 - 11:21,02.12.2020 - 22:00,поставка материально-технических ресурсов,0.00 руб.,https://www.tektorg.ru/rosneft/procedures/541980?lang=ru
600975,600975,http://zakupki.rosneft.ru/node/600975,"АО ""ВЧНГ""","8-21-24 Поставка мембранных элементов, прочего оборудования и запчастей",Запрос цен,11.11.2020 - 11:56,26.11.2020 - 10:00,поставка материально-технических ресурсов,3 845 402.58 руб.,Not specified
600973,600973,http://zakupki.rosneft.ru/node/600973,"ОАО ""Ангарский завод полимеров""","лот № 200949 ""Калия гигдрат окиси технический орехообразный""",Запрос оферт,11.11.2020 - 11:39,26.11.2020 - 10:00,поставка материально-технических ресурсов,0.00 руб.,Not specified
600979,2063-УМТО-2020,http://zakupki.rosneft.ru/node/600979,"АО ""Востсибнефтегаз""",2063-УМТО-2020 Поставка фланцев,Запрос оферт,11.11.2020 - 12:00,25.11.2020 - 19:59,поставка материально-технических ресурсов,0.00 руб.,Not specified
600981,600981,http://zakupki.rosneft.ru/node/600981,"ПАО ""НК ""Роснефть"" (ЦА)","Поставка двигателей и генераторов для ООО ""РН-Бурение""",Запрос оферт,11.11.2020 - 12:03,02.12.2020 - 18:59,поставка материально-технических ресурсов,Не публикуемые,
600983,600983,http://zakupki.rosneft.ru/node/600983,"ОАО ""Ангарский завод полимеров""","лот № 199579 ""Магний хлористый""",Запрос оферт,11.11.2020 - 12:13,26.11.2020 - 10:00,поставка материально-технических ресурсов,0.00 руб.,Not specified
600985,4000093833,http://zakupki.rosneft.ru/node/600985,"АО ""РНПК""",Добровольное страхование от несчастных случаев работников АО «РНПК»,Запрос цен,11.11.2020 - 12:15,25.11.2020 - 17:30,непроизводственные услуги,0.00 руб.,Not specified
600991,600991,http://zakupki.rosneft.ru/node/600991,"АО ""РОСПАН ИНТЕРНЕШНЛ""","«Обустройство Восточно-Уренгойского лицензионного участка пласта Ач5 2-3. Куст скважин 2-08, 2-32, 2-38, 2-39, 2-41. Линейные трубопроводы. Газопровод-шлейф «к.2-38-т.вр.к.2-38», Метанолопровод «т.вр.к.2-38-к.2-38»;
«Обустройство Восточно-Уренгойского лицензионного участка пласта Ач5 2-3. Куст скважин 2-08, 2-32, 2-38, 2-39, 2-41. Газопровод-шлейф «к.2-39-т.вр.к.2-41», Метанолопровод «т.вр.к.2-41-к.2-39».
Газопровод-шлейф «т.вр.к.2-41-т.вр.к.2-19» Метанолопровод «т.вр.к.2-19-т.вр.к.2-41»;
«Трубопровод подключения газосборного коллектора КП 2-17 к ЦВШ-1 УКПГиК Восточно-Уренгойского лицензионного участка»; «Трубопровод-перемычка между газосборным коллектором КП 2-12 и газосборным коллектором КП 2-14, 2-16»; «Трубопровод подключения КП 2-24 и КП 2-04 к газопроводу-шлейфу КП 2-01»; «Трубопровод подачи метанола на КП 2-12, 2-17 от метанолопровода на КП 2-14,  2-16»;
«Обустройство Восточно-Уренгойского лицензионного участка. Добыча и сбор газа Восточно-Уренгойского лицензионного участка. Куст газоконденсатных скважин 2-10. Газосборные сети куста 2-10»;
«Перемычки газосборных сетей и метанолопроводов кустовых площадок 2-03, 2-19, 2-22, 2-26, 2-28».",Запрос цен,11.11.2020 - 12:18,25.11.2020 - 14:00,строительно-монтажные работы,346 279 094.69 руб.,Not specified
601073,601073,http://zakupki.rosneft.ru/node/601073,"АО ""РН-Няганьнефтегаз""",Проведениеобязательных (предварительных и периодических) медицинских осмотров работников,Запрос цен,11.11.2020 - 16:40,25.11.2020 - 13:00,прочие услуги,0.00 руб.,Not specified
601091,601091,http://zakupki.rosneft.ru/node/601091,"АО ""РН-Транс""","Оказание комплекса услуг (автостоянка и мойка автомобилей Заказчика, предоставление водителей для управления автомобилями Заказчика) для нужд ТОП АО «РН-Транс» в г. Комсомольске-на-Амуре в период с момента подписания на 36 месяцев.",Запрос оферт,11.11.2020 - 17:31,25.11.2020 - 22:00,транспортные услуги,0.00 руб.,Not specified
601079,601079,http://zakupki.rosneft.ru/node/601079,"ПАО ""НК ""Роснефть"" (ЦА)","«Оказание услуг по определению количества и качества бункерного топлива (сюрвейерских, инспекционных и иных услуг) для нужд ООО«РН-Бункер» в морских портах Дальневосточного Федерального округа, Южного Федерального округа, Северо-Западного Федерального округа, в речных портах Восточной и Западной Сибири, а также реки Амур и в речных портах Европейской части Российской Федерации»",Запрос оферт,11.11.2020 - 17:09,25.11.2020 - 18:00,прочие услуги,0.00 руб.,Not specified
