product_name,product_url,product_image_link,product_price
Oneida,https://www.glassesshop.com/eyeglasses/ft0405,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f5f30e761077.jpg",$44.95
Amelia,https://www.glassesshop.com/eyeglasses/fm1468,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fa35a38a05d9.jpg",$34.95
Althea,https://www.glassesshop.com/eyeglasses/fp2111,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202007/5f0d02e66cf0b.jpg",$19.95
Libra,https://www.glassesshop.com/eyeglasses/fp2046,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e43691fca28d.jpg",$24.95
Gulfport,https://www.glassesshop.com/eyeglasses/fp2107,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5ef06e410e21c.jpg",$19.95
Lagrange,https://www.glassesshop.com/eyeglasses/fz1411,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5ea6ac493fdf0.jpg",$29.95
Miami,https://www.glassesshop.com/eyeglasses/fz0981,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201704/58f85d7927324.jpg",$29.95
Glenview,https://www.glassesshop.com/eyeglasses/ft0364,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e4288d506c67.jpg",$49.95
Evanston,https://www.glassesshop.com/eyeglasses/sup0791,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202007/5f1e8acd71af1.jpg",$29.95
Walnut,https://www.glassesshop.com/eyeglasses/sup0821,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e93cdb77d4ef.jpg",$29.95
Fresno,https://www.glassesshop.com/eyeglasses/fp2036,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f634cb1c.jpg",$12.95
Smith,https://www.glassesshop.com/eyeglasses/fm1419,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f5bbd9ec.jpg",$29.95
Bronx,https://www.glassesshop.com/eyeglasses/fp1977,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff988f285a.jpg",$12.95
Mobile,https://www.glassesshop.com/eyeglasses/ft0359,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202002/5e377f95ab765.jpg",$39.95
Joni,https://www.glassesshop.com/eyeglasses/fp2024,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202006/5eddf0b0da7ac.jpg",$29.95
Asheville,https://www.glassesshop.com/eyeglasses/fp1990,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9e0a3ca8.jpg",$12.95
Labrador,https://www.glassesshop.com/eyeglasses/fp1988,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9d397b90.jpg",$12.95
Bronx,https://www.glassesshop.com/eyeglasses/fp1978,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff98fb140d.jpg",$12.95
Wilsen,https://www.glassesshop.com/eyeglasses/fz1315,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4ea18c0.jpg",$29.95
Eleanor,https://www.glassesshop.com/eyeglasses/fp1948,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5ec4810dc05c2.jpg",$12.95
Burke,https://www.glassesshop.com/eyeglasses/fm1244,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b05174d38e7e.jpg",$24.95
Bray,https://www.glassesshop.com/eyeglasses/fp1923,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d18fc8b7fc.jpg",$12.95
Bobosa,https://www.glassesshop.com/eyeglasses/fz1375,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d2d2660a22b3.jpg",$29.95
Vogt,https://www.glassesshop.com/eyeglasses/fz1320,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4eb5fb5.jpg",$29.95
Hume,https://www.glassesshop.com/eyeglasses/fz1299,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201901/5c340388202fb.jpg",$29.95
Jinbee,https://www.glassesshop.com/eyeglasses/fp1903,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201905/5ce3ad100f3fe.jpg",$19.95
Tacab,https://www.glassesshop.com/eyeglasses/fp1831,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201904/5cb69b5102348.jpg",$19.95
